"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Prey",5.39,82,"Arkane Studios","Bethesda Softworks","2017-05-04",9,135,0,"No",0,29.9444444444444,FALSE,"Acción","Aventura",FALSE,FALSE,2017,5,4
"FIFA 23 Ultimate Edition",65.95,27,"EA Canada & EA Romania","Electronic Arts","2022-09-29",5,369,1,"Descarga digital",0,90.3424657534247,FALSE,"Simulación","Deporte",FALSE,FALSE,2022,9,29
"Borderlands 2 GOTY",6,87,"Aspyr (Linux)","Aspyr (Linux)","2012-09-21",10,386,1,"Descarga digital",0,46.1538461538462,FALSE,"Acción","RPG",FALSE,FALSE,2012,9,21
"Agatha Christie - The ABC Murders",1,93,"Tower Five","Microids","2016-02-04",9,25,1,"Descarga digital",0,14.2857142857143,FALSE,"Aventura","Aventura",FALSE,FALSE,2016,2,4
"Supreme Commander 2",3.01,77,"Gas Powered Games","Square Enix","2010-03-02",9,17,1,"Descarga digital",0,13.0869565217391,FALSE,"Estrategia","Estrategia",FALSE,FALSE,2010,3,2
"Alan Wake",2.44,80,"Remedy Entertainment","Remedy Entertainment","2012-02-16",10,83,1,"Descarga digital",0,12.2,FALSE,"Acción","Aventura",FALSE,FALSE,2012,2,16
"Endless Space 2 Definitive Edition",17.61,81,"AMPLITUDE Studios","SEGA","2017-05-18",10,1,0,"No",0,92.6842105263158,FALSE,"Estrategia","Estrategia",FALSE,FALSE,2017,5,18
"Nobody Saves the World",16.21,34,"DrinkBox Studios","DrinkBox Studios","2022-01-18",10,0,1,"Descarga digital",0,24.5606060606061,FALSE,"Acción","Aventura",FALSE,TRUE,2022,1,18
"People Playground",8.15,75,"mestiez","Studio Minus","2019-07-23",10,15,1,"Descarga digital",0,20.0909090909091,FALSE,"Acción","Simulación",FALSE,TRUE,2019,7,23
"The town of light",1.7,91,"LKA","Wired Productions","2016-02-26",9,4,1,"Descarga digital",0,18.8888888888889,FALSE,"Aventura","Aventura",FALSE,TRUE,2016,2,26
